name,targetVersion,minorLine,frameworkDep,publishedAt,alreadyBundled
@activepieces/piece-amazon-sns,0.1.4,0.1,0.30.0,2026-06-11T05:35:46.605Z,false
@activepieces/piece-amazon-sqs,0.0.8,0.0,0.20.1,2025-10-31T23:13:31.299Z,false
@activepieces/piece-amazon-sqs,0.1.4,0.1,0.30.0,2026-06-11T05:36:19.052Z,false
@activepieces/piece-amazon-textract,0.1.0,0.1,0.25.6,2026-03-05T13:08:57.085Z,false
@activepieces/piece-amazon-textract,0.2.3,0.2,0.27.1,2026-04-14T10:14:32.099Z,false
@activepieces/piece-amazon-textract,0.3.3,0.3,0.30.0,2026-06-11T05:35:05.456Z,false
@activepieces/piece-aminos,0.0.5,0.0,0.20.1,2025-09-08T18:41:59.332Z,false
@activepieces/piece-aminos,0.1.4,0.1,0.30.0,2026-06-11T05:35:41.136Z,false
@activepieces/piece-ampeco,0.0.1,0.0,0.23.0,2026-01-05T05:06:10.463Z,false
@activepieces/piece-ampeco,0.2.6,0.2,0.30.0,2026-06-11T14:00:53.506Z,false
@activepieces/piece-anyhook-graphql,0.0.5,0.0,0.20.1,2025-09-08T18:42:00.043Z,false
@activepieces/piece-anyhook-graphql,0.1.4,0.1,0.30.0,2026-06-11T14:00:03.910Z,false
@activepieces/piece-anyhook-websocket,0.0.5,0.0,0.20.1,2025-09-08T18:42:00.091Z,false
@activepieces/piece-anyhook-websocket,0.1.4,0.1,0.30.0,2026-06-11T14:00:09.181Z,false
@activepieces/piece-apify,0.0.6,0.0,0.20.1,2025-09-08T18:41:59.678Z,false
@activepieces/piece-apify,0.1.4,0.1,0.25.4,2026-02-23T09:01:36.724Z,false
@activepieces/piece-apify,0.2.4,0.2,0.30.0,2026-06-09T06:39:57.363Z,false
@activepieces/piece-apitable,0.0.27,0.0,0.20.2,2025-11-13T14:43:37.776Z,false
@activepieces/piece-apitable,0.1.5,0.1,0.30.0,2026-06-09T07:44:57.574Z,false
@activepieces/piece-apitemplate-io,0.0.7,0.0,0.20.1,2025-09-08T18:42:00.663Z,false
@activepieces/piece-apitemplate-io,0.1.5,0.1,0.30.0,2026-06-11T05:35:25.813Z,false
@activepieces/piece-apollo,0.0.8,0.0,0.22.2,2025-12-08T10:05:31.356Z,false
@activepieces/piece-apollo,0.1.5,0.1,0.30.0,2026-06-09T07:44:47.098Z,false
@activepieces/piece-appfollow,0.0.1,0.0,0.20.2,2025-11-24T09:39:49.904Z,false
@activepieces/piece-appfollow,0.1.5,0.1,0.30.0,2026-06-11T05:35:20.769Z,false
@activepieces/piece-asana,0.0.1,0.0,,2023-03-07T18:33:38.541Z,false
@activepieces/piece-asana,0.1.3,0.1,,2023-03-16T01:34:41.861Z,false
@activepieces/piece-asana,0.2.4,0.2,0.3.27,2023-06-10T21:33:06.019Z,false
@activepieces/piece-asana,0.3.11,0.3,0.20.1,2025-09-08T18:41:59.685Z,false
@activepieces/piece-asana,0.4.5,0.4,0.30.0,2026-06-09T06:40:35.124Z,false
@activepieces/piece-ashby,0.0.6,0.0,0.20.1,2025-09-08T18:41:59.017Z,false
@activepieces/piece-ashby,0.1.4,0.1,0.25.4,2026-02-23T09:01:54.632Z,false
@activepieces/piece-ask-handle,0.0.2,0.0,0.20.2,2025-11-25T10:58:07.090Z,false
@activepieces/piece-ask-handle,0.1.5,0.1,0.30.0,2026-06-11T05:36:24.320Z,false
@activepieces/piece-asknews,0.0.6,0.0,0.30.0,2026-06-09T07:44:31.477Z,false
@activepieces/piece-assembled,0.0.3,0.0,0.20.1,2025-09-08T18:42:00.103Z,false
@activepieces/piece-assembled,0.1.5,0.1,0.30.0,2026-06-11T05:35:35.910Z,false
@activepieces/piece-assemblyai,0.0.2,0.0,0.7.34,2024-09-12T23:25:33.200Z,false
@activepieces/piece-assemblyai,1.0.8,1.0,0.20.1,2025-10-31T23:13:32.756Z,false
@activepieces/piece-assemblyai,1.1.6,1.1,0.30.0,2026-06-11T05:22:30.090Z,false
@activepieces/piece-attio,0.0.6,0.0,0.20.1,2025-09-08T18:42:00.895Z,false
@activepieces/piece-attio,0.1.19,0.1,0.30.0,2026-06-09T07:44:04.758Z,false
